=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 30: [30,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 31.07-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 31: [31,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-16-PCI-MO-001- 31.07-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-001-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 32: [32,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 31.07-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 33: [33,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 31.07-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 34: [34,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Suporte","Climatização","NEO-23001-AS-CLI 31.07-000-R02","rvt","Sim","NEO-23001-PE-CLI-000-MODELO_IFC-R02","NEO-23001-AS-CLI-001-SUPO1-R00","","","","","",""]
ROW 35: [35,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","Climatização","NEO-23001-PE-29-CLI-DE-010-R01","dwg","Não","-","","Sala Limpa - projeto em dwg","","","","",""]
ROW 36: [36,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","Climatização","NEO-23001-PE-29-CLI-DE-011-R01","dwg","Não","-","","Sala Limpa - projeto em dwg","","","","",""]
ROW 37: [37,45869,"008. SM 31 - 31.07.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 31.07-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 38: [38,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 14.08-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 39: [39,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 14.08-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
